City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,wanning,18.8003,110.3967,24.37,96,98,1.93,CN,1696980131
244,reggane,26.7158,0.1714,28.35,18,100,7.05,DZ,1696980589
245,semdinli,37.3051,44.5742,13.02,93,92,1.8,TR,1696980589
246,colonia,50.9333,6.95,19.12,77,0,1.54,DE,1696980452
247,hashtpar,37.8008,48.9037,19.16,89,100,3.27,IR,1696980590
248,neiafu,-18.65,-173.9833,26.38,57,75,3.6,TO,1696980590
249,porto novo,6.4965,2.6036,25.97,86,100,2.46,BJ,1696979951
250,chapaev,50.2,51.1667,4.69,65,97,3.6,KZ,1696980591
251,vilyuysk,63.7553,121.6247,6.77,91,100,4.47,RU,1696980111
252,st. john's,47.5649,-52.7093,11.55,98,100,5.14,CA,1696980591
253,linfen,36.0889,111.5189,15.01,57,35,2.08,CN,1696980592
254,key west,24.5557,-81.7826,29.0,84,40,3.6,US,1696980395
255,santa marta de ortigueira,43.6833,-7.85,20.4,54,11,2.06,ES,1696980592
256,lokbatan,40.3237,49.728,14.99,63,100,0.33,AZ,1696980592
257,sao felix do xingu,-6.6447,-51.995,31.91,33,65,0.77,BR,1696980593
258,merowe,18.4833,31.8167,31.21,26,0,9.11,SD,1696980593
259,tolanaro,-25.0319,46.9987,21.17,94,36,0.99,MG,1696980015
260,isafjordur,66.0755,-23.124,1.56,97,100,13.04,IS,1696980019
261,myitkyina,25.3833,97.4,21.83,99,91,0.79,MM,1696980593
262,quepos,9.4236,-84.1652,27.5,85,100,0.16,CR,1696980356
263,saipan,15.1355,145.701,27.39,94,100,14.4,MP,1696980017
264,itoman,26.1247,127.6694,26.43,62,40,7.72,JP,1696980594
265,ponta delgada,37.7333,-25.6667,22.4,88,20,5.14,PT,1696980594
266,buzuluk,52.7807,52.2635,5.54,63,100,6.71,RU,1696980594
267,northam,51.0333,-4.2167,18.14,97,84,5.99,GB,1696980594
268,lebu,-37.6167,-73.65,10.06,71,40,8.45,CL,1696980595
269,soe,-9.8607,124.284,23.96,49,15,1.61,ID,1696980097
270,salalah,17.0151,54.0924,26.05,83,20,1.54,OM,1696980020
271,port mathurin,-19.6833,63.4167,23.35,76,47,6.34,MU,1696980595
272,dhidhdhoo,6.8833,73.1,27.67,74,100,2.54,MV,1696980020
273,wau,7.7029,27.9953,21.07,96,100,1.7,SS,1696980595
274,khao yoi,13.2403,99.8243,24.59,93,99,2.39,TH,1696980596
275,berdigestyakh,62.0989,126.6992,4.05,95,100,3.58,RU,1696980596
276,anadyr,64.75,177.4833,0.28,74,75,6.71,RU,1696980596
277,healdsburg,38.6105,-122.8692,19.4,77,100,4.12,US,1696980329
278,zindah jan,34.3426,61.7468,18.67,30,6,1.78,AF,1696980596
279,bardai,11.65,7.2333,25.25,38,9,1.9,NG,1696980114
280,sao miguel do araguaia,-13.275,-50.1628,29.03,52,53,1.69,BR,1696980597
281,president roxas,7.1544,125.0558,24.67,92,100,0.24,PH,1696980597
282,zyryanovsk,49.7386,84.2719,8.87,63,5,0.79,KZ,1696980597
283,dera bugti,29.0307,69.151,24.31,24,0,1.64,PK,1696980597
284,ribas do rio pardo,-20.4431,-53.7592,29.16,52,30,3.01,BR,1696980598
285,fisterra,42.9049,-9.2629,19.97,58,34,1.45,ES,1696980008
286,walvis bay,-22.9575,14.5053,13.94,82,99,5.17,NA,1696980053
287,katima mulilo,-17.5,24.2667,27.18,20,4,3.99,NA,1696980598
288,kailua-kona,19.6406,-155.9956,29.72,71,20,4.63,US,1696979832
289,ikizce,41.0583,37.0803,11.12,90,11,2.05,TR,1696980598
290,vecumnieki,56.6064,24.5222,8.14,75,100,4.66,LV,1696980599
291,thunder bay,48.4001,-89.3168,8.99,71,40,2.57,CA,1696980056
292,san luis de la loma,17.2706,-100.8939,24.4,91,100,2.2,MX,1696980599
293,monte alto,-21.2611,-48.4964,25.3,42,2,2.96,BR,1696980599
294,fort frances,48.5999,-93.4003,8.98,75,100,3.09,CA,1696980385
295,lospalos,-8.5186,127.0025,24.62,70,83,2.94,TL,1696980600
296,ghat,24.9647,10.1728,24.02,28,19,2.23,LY,1696980099
297,belmonte,-15.8631,-38.8828,23.87,86,30,3.82,BR,1696980600
298,nahiyat ash shinafiyah,31.5874,44.6602,30.27,21,69,1.09,IQ,1696980134
299,bakanas,44.8081,76.2772,18.43,27,100,3.84,KZ,1696980601
300,hakodate,41.7758,140.7367,14.17,67,20,2.06,JP,1696980601
301,vernon,50.2581,-119.2691,17.09,61,100,1.03,CA,1696980038
302,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.57,GF,1696980015
303,rongelap,11.1635,166.8941,28.35,70,85,6.0,MH,1696980601
304,majene,-3.5403,118.9707,27.3,73,87,5.71,ID,1696980602
305,al mijlad,11.0333,27.7333,27.28,64,95,4.96,SD,1696980602
306,szolnok,47.1833,20.2,10.18,87,0,1.03,HU,1696980603
307,eraan,9.0629,117.7016,27.62,78,92,0.23,PH,1696980604
308,crane,31.3974,-102.3501,27.71,38,64,6.57,US,1696980021
309,launceston,-41.45,147.1667,12.8,71,40,7.72,AU,1696980604
310,meadow lake,34.8014,-106.5436,25.22,28,88,4.46,US,1696980133
311,eastham,41.8301,-69.9739,15.55,86,48,3.56,US,1696980605
312,mazagao,-0.115,-51.2894,29.03,68,35,3.06,BR,1696980605
313,iskateley,67.6803,53.1512,1.12,76,57,4.02,RU,1696980605
314,bridgewater,44.3835,-64.5155,12.82,80,10,3.6,CA,1696980605
315,scottburgh,-30.2867,30.7532,18.88,90,98,1.08,ZA,1696980606
316,bulungu,-4.55,18.6,20.62,98,100,0.68,CD,1696980606
317,nieuw amsterdam,5.8833,-55.0833,28.9,78,0,4.55,SR,1696980606
318,maumere,-8.6199,122.2111,28.24,61,48,0.84,ID,1696980607
319,tazacorte,28.629,-17.9293,28.42,24,0,4.47,ES,1696980607
320,pursat,12.3333,103.6667,25.39,86,100,0.32,KH,1696980607
321,aldama,22.9167,-98.0667,25.28,81,100,2.09,MX,1696980607
322,pitea,65.3172,21.4794,6.05,95,100,2.62,SE,1696980608
323,sao pedro do sul,-29.6206,-54.1789,22.36,90,0,1.82,BR,1696980608
324,cadale,2.7603,46.3222,26.22,85,65,5.76,SO,1696980051
325,salekhard,66.53,66.6019,1.39,86,100,3.56,RU,1696980609
326,bandarbeyla,9.4942,50.8122,25.34,90,59,2.87,SO,1696980028
327,fort mcmurray,56.7268,-111.381,21.77,43,0,6.69,CA,1696980328
328,nizhniy ingash,56.2,96.53,7.66,83,55,1.9,RU,1696980609
329,la quiaca,-22.1024,-65.593,15.19,21,77,2.25,AR,1696980609
330,king,47.4665,-121.8179,10.91,94,92,2.68,US,1696980609
331,katsuren-haebaru,26.3369,127.8719,26.43,62,40,4.63,JP,1696980126
332,isangel,-19.55,169.2667,25.06,65,75,2.06,VU,1696980610
333,luwuk,-0.9516,122.7875,29.5,54,94,1.78,ID,1696980610
334,anisoc,1.8658,10.7689,20.87,100,99,0.45,GQ,1696980611
335,goundam,16.4145,-3.6708,33.14,25,63,1.04,ML,1696980611
336,mahajanga,-15.7167,46.3167,25.01,88,20,0.0,MG,1696980611
337,praia da vitoria,38.7333,-27.0667,22.14,73,20,9.31,PT,1696980026
338,taltal,-25.4,-70.4833,17.39,74,23,2.08,CL,1696979772
339,mandera,3.9366,41.867,26.75,56,45,7.22,KE,1696980612
340,san pedro,14.35,121.0167,26.57,92,75,2.57,PH,1696980377
341,rivne,50.6231,26.2274,4.48,72,59,3.4,UA,1696980612
342,inari,68.906,27.0288,-1.89,85,67,1.25,FI,1696980613
343,shimoda,34.6667,138.95,21.2,79,99,1.33,JP,1696980613
344,aykhal,66.0,111.5,5.59,92,100,13.41,RU,1696980613
345,kerikeri,-35.2268,173.9474,16.06,93,90,2.19,NZ,1696980045
346,genhe,50.7833,121.5167,7.56,59,7,0.27,CN,1696980613
347,greymouth,-42.4667,171.2,10.73,74,70,5.83,NZ,1696980369
348,daru,-9.0763,143.2092,26.03,79,100,5.32,PG,1696980131
349,ibshaway,29.358,30.6814,21.67,72,74,4.5,EG,1696980614
350,auki,-8.7676,160.7034,29.4,68,76,1.19,SB,1696980014
351,nikol'sk,53.7189,46.0712,-1.29,97,20,3.02,RU,1696980614
352,borujerd,33.8973,48.7516,15.16,50,2,1.12,IR,1696980615
353,ma'rib,15.4591,45.3253,21.34,24,0,1.77,YE,1696980615
354,mpika,-11.8343,31.4529,18.72,57,23,3.25,ZM,1696980615
355,kruisfontein,-34.0033,24.7314,14.38,95,99,1.91,ZA,1696980108
356,potsdam,52.3989,13.0657,16.72,92,99,2.56,DE,1696980005
357,huinca renanco,-34.8404,-64.3758,19.54,17,93,5.92,AR,1696980616
358,sarangani,5.4033,125.4636,27.23,80,96,4.76,PH,1696980616
359,gaillon,49.161,1.3402,15.79,72,0,2.06,FR,1696980616
360,buka,40.8108,69.1986,17.43,30,11,0.13,UZ,1696980616
361,conduaga,8.862,117.4893,27.84,76,90,1.2,PH,1696980617
362,al bayda',32.7627,21.7551,16.81,84,3,2.89,LY,1696980617
363,abaete,-19.16,-45.4458,26.32,65,44,3.32,BR,1696980618
